# gapseq version: 1.3.1
# Sequence DB md5sum: b470543 (2026-05-30, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_P9WMS1	25.085	1.13e-11	60.8	96	NP_414883.5 2-hydroxy-6-ketonona-2,4-dienedioate hydrolase [Escherichia coli str. K-12 substr. MG1655]	5	283	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_P38539	26.614	1.23e-40	154	89	NP_414666.1 quinoprotein glucose dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	168	768	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_Q09053	41.176	1.2	20.8	94	NP_415294.1 putative kinase inhibitor [Escherichia coli str. K-12 substr. MG1655]	25	41	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	100.000	0.0	1065	100	NP_418045.4 aldehyde dehydrogenase B [Escherichia coli str. K-12 substr. MG1655]	1	512	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	40.333	1.44e-110	334	93	NP_415816.1 gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	23	492	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	37.630	4.37e-103	315	93	NP_414846.1 betaine aldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	10	481	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	35.343	9.99e-96	295	93	NP_415961.1 gamma-aminobutyraldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	6	474	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	35.394	3.75e-90	282	89	NP_415903.4 phenylacetaldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	42	499	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	33.469	3.18e-82	261	94	NP_417147.1 succinate-semialdehyde dehydrogenase (NADP(+)) GabD [Escherichia coli str. K-12 substr. MG1655]	10	480	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	32.992	1.67e-80	256	94	NP_415933.1 aldehyde dehydrogenase A [Escherichia coli str. K-12 substr. MG1655]	1	475	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	NA	UniRef90_Q01399	25.225	9.94e-10	53.9	90	NP_417844.1 phosphoglycolate phosphatase [Escherichia coli str. K-12 substr. MG1655]	5	218	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		sp|O24676|TECA1_CUPXP	48.970	8.02e-138	400	94	NP_417033.1 putative 3-phenylpropionate/cinnamate dioxygenase subunit alpha [Escherichia coli str. K-12 substr. MG1655]	12	437	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 1	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA	UniRef90_O24677	32.558	5.52e-28	100	92	NP_417034.1 putative 3-phenylpropionate/cinnamate dioxygenase subunit beta [Escherichia coli str. K-12 substr. MG1655]	3	172	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 2	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA	sp|O24679|TECA4_CUPXP	30.250	3.24e-41	147	97	NP_417037.1 putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit [Escherichia coli str. K-12 substr. MG1655]	6	400	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit undefined	0	NA
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119		UniRef90_O69264	42.164	9.18e-71	216	97	NP_417036.1 2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	4	270	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn04647 rxn04672 rxn25894 rxn25907 	NA	0	1
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase		NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	 	NA	0	NA
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45		UniRef90_Q8Z3B8	90.335	0.0	506	99	YP_026268.1 putative dienelactone hydrolase [Escherichia coli str. K-12 substr. MG1655]	1	269	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	1
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45		UniRef90_Q8ZAL4	75.314	9.88e-138	386	90	YP_026268.1 putative dienelactone hydrolase [Escherichia coli str. K-12 substr. MG1655]	28	266	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	1
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	NA	tr|Q471H8|Q471H8_CUPPJ	28.989	1.36e-34	127	94	NP_417279.2 L-1,2-propanediol oxidoreductase [Escherichia coli str. K-12 substr. MG1655]	13	382	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	NA
